Parent Name,Parent Id,Identifier,Company Name,Type,Relationship,Country/Region,Industry,Confidence Score (%),Last Update Date,Days Since Last Update,Freshness,Snippet Count,Revenue (USD),EQ Score,Implied Rating,fetch_time
ViaSat Inc,4295908314,5000069094,Lockheed Martin Corp,Public,Customer,United States of America,Aerospace & Defense,0.3013148,2022-01-13,21,5,2,67044000000.0,83.0,BB-,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295905139,United Airlines Holdings Inc,Public,Customer,United States of America,Airlines,0.571357768512,2019-02-07,1092,3,3,24634000000.0,37.0,CCC,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295872133,Icelandair Group hf,Public,Customer,Iceland,Airlines,0.2869096,2017-05-23,1717,1,2,425709000.0,6.0,B-,2022-02-03 19:12:00
ViaSat Inc,4295908314,5035414782,Northrop Grumman Corp,Public,Customer,United States of America,Aerospace & Defense,0.570827778816,2018-05-30,1345,2,3,35667000000.0,84.0,BB-,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295866983,Eutelsat Communications SA,Public,Customer,France,Wireless Telecommunications Services,0.683197255531546,2021-03-31,309,5,5,1471664886.22309,35.0,BBB-,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295903076,Boeing Co,Public,Supplier,United States of America,Aerospace & Defense,0.998179007599245,2021-02-08,360,5,14,62286000000.0,15.0,CCC+,2022-02-03 19:12:00
ViaSat Inc,4295908314,4298286739,Grupo Aeromexico SAB de CV,Public,Customer,Mexico,Airlines,0.644784854212608,2018-11-01,1190,3,4,1337522898.75797,27.0,B,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295905366,Telesat Corp,Public,Customer,Canada,Integrated Telecommunications Services,0.25947752,2013-09-05,3073,1,2,,,A,2022-02-03 19:12:00
ViaSat Inc,4295908314,4296665734,RigNet Inc,Private,Customer,United States of America,Online Services,0.53761861056,2020-12-22,408,5,3,207921000.0,,CC,2022-02-03 19:12:00
Subsea 7 SA,4295883093,5000013139,Aker BP ASA,Public,Supplier,Norway,Oil & Gas Exploration and Production,0.615400818087936,2021-07-09,209,5,4,2925669000.0,88.0,BB,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4295894740,BP PLC,Public,Supplier,United Kingdom,Oil & Gas Refining and Marketing,0.5547933048,2017-03-29,1772,1,3,161291000000.0,73.0,CCC+,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4295885039,Shell PLC,Public,Customer,United Kingdom,Integrated Oil & Gas,0.724146295760399,2019-10-04,853,4,7,,80.0,,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4298459348,Saudi Arabian Oil Co,Public,Customer,Saudi Arabia,Integrated Oil & Gas,0.570524433888,2019-09-10,877,4,3,229763225797.584,81.0,BB-,2022-02-03 18:35:00
