name	in_articles	short_name
Telia Company AB	1	Telia Company
Telenor ASA	1	Telenor
Atlas Air Worldwide Holdings Inc	1	Atlas Air Worldwide
Formosa Petrochemical Corp	1	Formosa
Zoox Inc	1	Zoox
Fossil Group Inc	1	Fossil
Fujitsu Ltd	1	Fujitsu
GS Caltex Corp	1	GS Caltex
Baoshan Iron & Steel Co Ltd	1	Baoshan Iron &
Accenture PLC	1	Accenture
Cadence Design Systems Inc	1	Cadence Design
DISH DBS Corp	1	DISH DBS
Coca Cola HBC AG	1	Coca Cola HBC
Westinghouse Air Brake Technologies Corp	1	Westinghouse Air Brake
CSRA Inc	1	CSRA
Canadian Imperial Bank of Commerce	1	Canadian Imperial Bank of Commerce
WPP PLC	1	WPP
Carbon Black Inc	1	Carbon Black
Cargojet Inc	1	Cargojet
CACI International Inc	1	CACI
British Airways PLC	1	British
Vista Outdoor Inc	1	Vista Outdoor
China Tower Corp Ltd	1	China Tower
Bosch Corp	1	Bosch
Citrix Systems Inc	1	Citrix
Gentex Corp	1	Gentex
Cypress Semiconductor Corp	1	Cypress
Verisign Inc	1	Verisign
Veoneer Inc	1	Veoneer
Avaya Inc	1	Avaya
Vale SA	1	Vale
Communications Workers of America	1	Communications Workers of America
Conocophillips	1	Conocophillips
Convergys Corp	1	Convergys
Copa Holdings SA	1	Copa
Beyond Meat Inc	1	Beyond Meat
AU Optronics Corp	1	AU Optronics
Waymo LLC	1	Waymo
Curtiss-Wright Corp	1	Curtiss-Wright
AstraZeneca PLC	1	AstraZeneca
Hertz Corp	1	Hertz
Synopsys Inc	1	Synopsys
NBCUniversal Media LLC	1	NBCUniversal
Murphy Oil Corp	1	Murphy
Motherson Sumi Systems Ltd	1	Motherson Sumi
Mercadolibre Inc	1	Mercadolibre
Rolls-Royce PLC	1	Rolls-Royce
McAfee LLC	1	McAfee
SBA Communications Corp	1	SBA
Maxwell Technologies Inc	1	Maxwell
Maxar Technologies Inc	1	Maxar
Martinrea International Inc	1	Martinrea
Saipem SpA	1	Saipem
Ambri Inc	1	Ambri
Samsung Electronics America Inc	1	Samsung
Lithium Americas Corp	1	Lithium Americas
Leoni AG	1	Leoni
Samsung Life Insurance Co Ltd	1	Samsung Life Insurance
Rivian Automotive Inc	1	Rivian
Republic Airways Holdings Inc	1	Republic
LATAM Airlines Group SA	1	LATAM
Nan Ya Plastics Corp	1	Nan Ya Plastics
PPG Industries Inc	1	PPG
Pfizer Inc	1	Pfizer
Aker BP ASA	1	Aker
Pilipinas Shell Petroleum Corp	1	Pilipinas Shell
One 97 Communications Ltd	1	One 97
Omnicom Group Inc	1	Omnicom
Ocado Group PLC	1	Ocado
Alcatel Lucent SA	1	Alcatel Lucent
Nippon Sheet Glass Co Ltd	1	Nippon Sheet Glass
Ningbo Joyson Electronic Corp	1	Ningbo Joyson Electronic
Nimble Storage Inc	1	Nimble Storage
Nielsen Holdings PLC	1	Nielsen
Nidec Corp	1	Nidec
NiSource Inc	1	NiSource
NeoPhotonics Corp	1	NeoPhotonics
Lattice Semiconductor Corp	1	Lattice
Kornit Digital Ltd	1	Kornit
Synacor Inc	1	Synacor
Songa Offshore SE	1	Songa Offshore
Inari Amertron Bhd	1	Inari Amertron
Aptiv PLC	1	Aptiv
Spirent Communications plc	1	Spirent
Home Box Office Inc	1	Home Box Office
Hindustan Petroleum Corp Ltd	1	Hindustan
Hertz Global Holdings Inc	1	Hertz Global
Spreadtrum Communications Inc	1	Spreadtrum
Paccar Inc	1	Paccar
Hasbro Inc	1	Hasbro
Subsea 7 SA	1	Subsea 7
HPCL-Mittal Energy Ltd	1	HPCL-Mittal
Gunvor Group Ltd	1	Gunvor
Groupm	1	Groupm
Great Wall Motor Co Ltd	1	Great Wall
Golar LNG Ltd	1	Golar LNG
Sonos Inc	1	Sonos
Sona BLW Precision Forgings Ltd	1	Sona BLW
Seadrill Ltd	1	Seadrill
SolarWinds Corp	1	SolarWinds
Kelt Exploration Ltd	1	Kelt Exploration
KT Corp	1	KT
ServiceNow Inc	1	ServiceNow
KLA Corp	1	KLA
Jaguar Land Rover Automotive PLC	1	Jaguar Land Rover
InvenSense Inc	1	InvenSense
Showa Denko KK	1	Showa Denko KK
Interpublic Group of Companies Inc	1	Interpublic
Amphenol Corp	1	Amphenol
Interglobe Aviation Ltd	1	Interglobe
Ampol Ltd	1	Ampol
Inseego Corp	1	Inseego
Inpex Corp	1	Inpex
Infraestructura Energetica Nova SAB de CV	1	Infraestructura Energetica Nova SAB de CV
Infineon Technologies AG	1	Infineon
Altium Ltd	1	Altium
